po_number	product_code	customer_name	ordered_qty_pieces	customer_amount	po_created_date	po_received_date	delivery_date	delivery_number	status
3001964569	79641157	Kenvue	792	938.20	2025-09-08	2025-09-09	2025-09-24	16466	Completed
3001964598	79618895	Kenvue	2400	6679.44	2025-09-08	2025-09-09	2025-10-01	16506	Completed
3001964600	43619050	Kenvue	3120	2419.53	2025-09-08	2025-09-09	2025-09-25	16474	Completed
3001964597	79640962	Kenvue	2400	2785.44	2025-09-08	2025-09-09	2025-09-30	16496	Completed
3001964566	79634940	Kenvue	3072	6516.17	2025-09-08	2025-09-09	2025-10-01	16508	Completed
3001964568	79634942	Kenvue	888	2288.14	2025-09-08	2025-09-09	2025-09-29	16484	Completed
3001965524	43630034	Kenvue	4992	3913.08	2025-09-16	2025-09-16	2025-10-01	16505	Completed
3001965526	79640892	Kenvue	3600	3673.58	2025-09-16	2025-09-16	2025-09-30	16497	Completed
3001965534	79640899	Kenvue	6000	14509.26	2025-09-16	2025-09-16	2025-10-02	16512	Completed
3001965554	79618122	Kenvue	5760	6588.00	2025-09-16	2025-09-16	2025-10-01	16507	Completed
3001965555	79618122	Kenvue	5760	6588.00	2025-09-16	2025-09-16	2025-10-03	16520	Completed
3001965530	43020062	Kenvue	7776	5037.29	2025-09-16	2025-09-16	2025-10-01	16509	Completed
3001965528	79601073	Kenvue	2880	2335.59	2025-09-16	2025-09-16	2025-10-01	16510	Completed
3001965527	43020063	Kenvue	7200	3954.74	2025-09-16	2025-09-16	2025-10-03	16518	Completed
3001965529	43710032	Kenvue	2160	7394.03	2025-09-16	2025-09-16	2025-10-03	16516	Completed
3001965525	43710033	Kenvue	1680	5195.47	2025-09-16	2025-09-16	2025-10-10	16542	Completed
3001966625	79641566	Kenvue	8640	1438.99	2025-09-23	2025-09-24	2025-10-01	16504	Completed
3001966628	79641157	Kenvue	1200	1421.52	2025-09-23	2025-09-24	2025-10-02	16513	Completed
3001966619	43630034	Kenvue	4992	3913.08	2025-09-23	2025-09-24	2025-10-03	16517	Completed
3001966648	43619050	Kenvue	3120	2419.53	2025-09-23	2025-09-24	2025-10-03	16519	Completed
3001966626	79642243	Kenvue	1608	1542.55	2025-09-23	2025-09-24	2025-10-07	16530	Completed
3001966630	43607073	Kenvue	4800	10481.42	2025-09-23	2025-09-24	2025-10-13	16551	Completed
3001966627	79618894	Kenvue	1200	3040.13	2025-09-23	2025-09-24	2025-10-07	16533	Completed
3001966616	79643216	Kenvue	7488	3720.11	2025-09-23	2025-09-24	2025-10-08	16537	Completed
3001966623	43630033	Kenvue	6240	4816.47	2025-09-23	2025-09-24	2025-10-13	16550	Completed
3001966618	79601072	Kenvue	5760	4579.03	2025-09-23	2025-09-24	2025-10-08	16536	Completed
3001966629	79601073	Kenvue	2880	2335.59	2025-09-23	2025-09-24	2025-10-07	16532	Completed
3001966649	79640890	Kenvue	2880	2660.92	2025-09-23	2025-09-24	2025-10-08	16539	Completed
3001966624	43020062	Kenvue	7776	5037.29	2025-09-23	2025-09-24	2025-10-08	16538	Completed
3001966650	79602628	Kenvue	3456	2067.07	2025-09-23	2025-09-24	2025-10-08	16535	Completed
3001966651	79618895	Kenvue	2400	6679.44	2025-09-23	2025-09-24	2025-10-10	16544	Completed
3001966620	79640853	Kenvue	2880	2787.67	2025-09-23	2025-09-24	2025-10-10	16541	Completed
3001966617	79640293	Kenvue	8400	9951.65	2025-09-23	2025-09-24	2025-10-13	16549	Completed
3001966621	43020063	Kenvue	15552	8542.25	2025-09-23	2025-09-24	2025-10-14	16562	Completed
3001966622	43710032	Kenvue	2700	9242.53	2025-09-23	2025-09-24	2025-10-15	16568	Completed
3001966574	43632035	Kenvue	6912	3651.19	2025-09-24	2025-09-24	2025-10-14	16561	Completed
3001966575	43619052	Kenvue	3432	2604.99	2025-09-24	2025-09-24			PO Cancelled
3001966569	79634942	Kenvue	1968	5071.00	2025-09-24	2025-09-24	2025-10-16	16573	Completed
3001966567	43619051	Kenvue	3120	2350.51	2025-09-24	2025-09-24	2025-10-20	16584	Completed
3001966568	79642253	Kenvue	4608	3114.09	2025-09-24	2025-09-24	2025-10-17	16578	Completed
3001967431	43619052	Kenvue	6816	5173.55	2025-09-30	2025-09-30	2025-10-23	16602	Completed
3001967432	43607074	Kenvue	7200	16701.41	2025-09-30	2025-09-30	2025-10-28	16619	Completed
3001967416	79622703	Kenvue	5808	4045.10	2025-09-30	2025-09-30	2025-10-22	16597	Completed
3001967413	79618124	Kenvue	3744	5867.30	2025-09-30	2025-09-30	2025-10-28	16617	Completed
3001967433	79640891	Kenvue	3600	3328.52	2025-09-30	2025-09-30	2025-10-24	16611	Completed
3001968144	43619053	Kenvue	7992	5746.97	2025-10-08	2025-10-09	2025-10-27	16614	Completed
3001968130	79640293	Kenvue	8400	9951.65	2025-10-08	2025-10-09	2025-10-31	16640	Completed
3001968132	79642243	Kenvue	2640	2532.55	2025-10-08	2025-10-09	2025-10-27	16615	Completed
3001968127	79642245	Kenvue	1608	1485.23	2025-10-08	2025-10-09	2025-10-30	16635	Completed
3001968129	79642063	Kenvue	2916	4150.63	2025-10-08	2025-10-09	2025-11-04	16655	Completed
3001968145	79618122	Kenvue	5760	6588.00	2025-10-08	2025-10-09	2025-10-31	16641	Completed
3001968133	79634320	Kenvue	2400	4132.30	2025-10-08	2025-10-09	2025-10-30	16632	Completed
3001968128	79641157	Kenvue	1080	1279.37	2025-10-08	2025-10-09	2025-10-27	16616	Completed
3001968131	79602665	Kenvue	5184	3256.28	2025-10-08	2025-10-09	2025-10-30	16634	Completed
3001963786	79644618	Kenvue	3072	10821.80	2025-09-02	2025-09-03	2025-10-20	16586	Completed
3001967026	79644618	Kenvue	3072	10821.80	2025-09-26	2025-09-26	2025-10-17	16582	Completed
3001966566	79644618	Kenvue	3600	12681.79	2025-09-24	2025-09-25	2025-10-24	16612	Completed
3001963780	79647567	Kenvue	6888	15064.61	2025-09-02	2025-09-03	2025-10-15	16570	Completed
3001963781	79647569	Kenvue	8424	16626.87	2025-09-02	2025-09-03	2025-10-13	16552	Completed
3001963784	79647590	Kenvue	7224	14893.50	2025-09-02	2025-09-03	2025-10-13	16555	Completed
3001964567	79647568	Kenvue	6336	14134.54	2025-09-08	2025-09-10	2025-10-15	16569	Completed
3001969855	79644618	Kenvue	3072	10821.80	2025-10-21	2025-10-22	2025-11-26	16751	Completed
3001963777	79644619	Kenvue	2400	7446.48	2025-09-02	2025-09-03	2025-10-17	16580	Completed
3001965532	79647568	Kenvue	3072	6853.11	2025-09-16	2025-09-17	2025-10-15	16571	Completed
3001965531	79647567	Kenvue	3600	7873.49	2025-09-16	2025-09-17	2025-10-17	16579	Completed
3001965535	79647569	Kenvue	5160	10184.55	2025-09-16	2025-09-17	2025-10-22	16596	Completed
3001965536	79647590	Kenvue	3960	8164.21	2025-09-16	2025-09-17	2025-10-17	16581	Completed
3001965533	79648330	Kenvue	5280	4051.20	2025-09-16	2025-09-17	2025-10-10	16543	Completed
3001965522	79644619	Kenvue	4608	14297.24	2025-09-16	2025-09-17	2025-10-20	16585	Completed
3001966760	79647568	Kenvue	168	374.78	2025-09-24	2025-09-25	2025-10-13	16554	Completed
3001966758	79647569	Kenvue	168	331.59	2025-09-24	2025-09-25	2025-10-10	16546	Completed
3001966759	79647567	Kenvue	168	367.43	2025-09-24	2025-09-25	2025-10-13	16553	Completed
3001966757	79647590	Kenvue	168	346.36	2025-09-24	2025-09-25	2025-10-10	16545	Completed
3001968803	43607074	Kenvue	3552	8239.36	2025-10-14	2025-10-15	2025-10-31	16639	Completed
3001965523	79644619	Kenvue	3072	9531.49	2025-09-16	2025-09-17	2025-10-23	16603	Completed
3001968804	43619053	Kenvue	1704	1225.33	2025-10-14	2025-10-15	2025-11-03	16648	Completed
3001968386	79634942	Kenvue	504	1298.67	2025-10-14	2025-10-15	2025-10-28	16618	Completed
3001968387	43020063	Kenvue	15552	8542.25	2025-10-14	2025-10-15	2025-10-31	16642	Completed
3001968388	43020062	Kenvue	3888	2518.65	2025-10-14	2025-10-15	2025-10-31	16643	Completed
3001968385	79642063	Kenvue	5184	7378.91	2025-10-14	2025-10-15	2025-10-31	16638	Completed
3001968382	79640892	Kenvue	3744	3820.53	2025-10-14	2025-10-15	2025-11-04	16654	Completed
3001968384	79634321	Kenvue	1200	2195.75	2025-10-14	2025-10-15	2025-11-05	16656	Completed
3001968381	79601073	Kenvue	2880	2335.59	2025-10-14	2025-10-15	2025-11-05	16659	Completed
3001968380	79601072	Kenvue	3648	2900.05	2025-10-14	2025-10-15	2025-11-04	16651	Completed
3001968383	4360903803	Kenvue	12672	8727.84	2025-10-14	2025-10-15	2025-11-05	16657	Completed
3001969254	43020062	Kenvue	7776	5037.29	2025-10-16	2025-10-17	2025-10-30	16636	Completed
3001969872	43020063	Kenvue	7200	3954.74	2025-10-21	2025-10-22	2025-11-03	16649	Completed
3001969867	79646378	Kenvue	5184	7154.54	2025-10-21	2025-10-22	2025-11-24	16740	Completed
3001969870	79647568	Kenvue	3576	7977.45	2025-10-21	2025-10-22	2025-11-28	16773	Completed
3001969865	79647590	Kenvue	3912	8065.25	2025-10-21	2025-10-22	2025-11-27	16760	Completed
3001969858	43020062	Kenvue	15120	9794.74	2025-10-21	2025-10-22	2025-11-05	16658	Completed
3001968379	79644619	Kenvue	3072	9531.49	2025-10-14	2025-10-15	2025-10-30	16633	Completed
3001969856	79644619	Kenvue	3072	9531.49	2025-10-21	2025-10-22	2025-11-21	16732	Completed
3001969857	79644619	Kenvue	3072	9531.49	2025-10-21	2025-10-22	2025-11-25	16745	Completed
3001969861	79644619	Kenvue	3072	9531.49	2025-10-21	2025-10-22	2025-11-24	16739	Completed
3001969866	79642063	Kenvue	7776	11068.36	2025-10-21	2025-10-22	2025-11-10	16681	Completed
3001969894	43619052	Kenvue	2880	2186.01	2025-10-21	2025-10-22	2025-11-10	16678	Completed
3001969859	79644889	Kenvue	2592	6966.57	2025-10-21	2025-10-22	2025-11-07	16673	Completed
3001969860	79644889	Kenvue	2592	6966.57	2025-10-21	2025-10-22	2025-11-11	16684	Completed
3001969871	79647567	Kenvue	3624	7925.98	2025-10-21	2025-10-22	2025-11-27	16758	Completed
3001969868	79647569	Kenvue	5184	10231.92	2025-10-21	2025-10-22	2025-11-24	16742	Completed
3001969889	79640962	Kenvue	1200	1392.72	2025-10-21	2025-10-22	2025-11-04	16653	Completed
3001969890	43606072	Kenvue	15552	6786.89	2025-10-21	2025-10-22	2025-11-07	16672	Completed
3001969854	43607073	Kenvue	6000	13101.78	2025-10-21	2025-10-22	2025-11-06	16663	Completed
3001969864	79602665	Kenvue	6912	4341.70	2025-10-21	2025-10-22	2025-11-10	16677	Completed
3001969862	43630031	Kenvue	2352	2202.01	2025-10-21	2025-10-22	2025-11-06	16664	Completed
3001969863	79601073	Kenvue	1104	895.31	2025-10-21	2025-10-23	2025-11-04	16652	Completed
3001970144	43020062	Kenvue	18144	11753.68	2025-10-27	2025-10-28	2025-12-01	16780	Completed
3001970142	79642253	Kenvue	4608	3114.09	2025-10-27	2025-10-28	2025-11-11	16686	Completed
3001970172	43619052	Kenvue	2880	2186.01	2025-10-27	2025-10-28	2025-11-07	16674	Completed
3001970147	79641157	Kenvue	1200	1421.52	2025-10-27	2025-10-28	2025-11-07	16676	Completed
3001970150	79634321	Kenvue	888	1624.85	2025-10-27	2025-10-28	2025-11-11	16685	Completed
3001970171	79640962	Kenvue	408	473.52	2025-10-27	2025-10-28	2025-11-07	16671	Completed
3001970149	79618894	Kenvue	2400	6080.26	2025-10-27	2025-10-28	2025-11-07	16675	Completed
3001970145	43630033	Kenvue	6240	4816.47	2025-10-27	2025-10-28	2025-11-12	16694	Completed
3001970146	79622703	Kenvue	2448	1704.96	2025-10-27	2025-10-28	2025-11-05	16660	Completed
3001970148	79601072	Kenvue	5760	4579.03	2025-10-27	2025-10-28	2025-11-12	16693	Completed
3001970170	43710033	Kenvue	3678	11374.36	2025-10-27	2025-10-28	2025-11-13	16696	Completed
3001970143	43710032	Kenvue	3588	12282.30	2025-10-27	2025-10-28	2025-11-14	16702	Completed
3001967414	79646378	Kenvue	8640	11924.24	2025-09-30	2025-10-31	2025-12-02	16785	Completed
3001967415	79646376	Kenvue	3456	4977.09	2025-09-30	2025-10-31	2025-11-27	16757	Completed
3001970329	79648643	Kenvue	780	1918.80	2025-10-22	2025-10-23	2025-11-14	16703	Completed
3001971403	79642245	Kenvue	3024	2793.12	2025-11-03	2025-11-04	2025-11-13	16698	Completed
3001971301	79642243	Kenvue	3216	3085.11	2025-11-03	2025-11-04	2025-11-13	16699	Completed
3001971295	43020062	Kenvue	6264	4057.82	2025-11-03	2025-11-04			PO Cancelled
3001971296	79640293	Kenvue	8400	9951.65	2025-11-03	2025-11-04	2025-11-18	16713	Completed
3001971297	79615407	Kenvue	816	2952.78	2025-11-03	2025-11-04	2025-11-14	16705	Completed
3001971299	79644619	Kenvue	3072	9531.49	2025-11-03	2025-11-04	2025-11-28	16774	Completed
3001971300	79644619	Kenvue	3072	9531.49	2025-11-03	2025-11-04	2025-12-02	16787	Completed
3001971420	79618122	Kenvue	5760	6588.00	2025-11-03	2025-11-04	2025-11-19	16724	Completed
3001971298	79642063	Kenvue	5148	7327.66	2025-11-03	2025-11-04	2025-11-18	16712	Completed
3001971294	79644618	Kenvue	2400	8454.53	2025-11-03	2025-11-04	2025-12-01	16779	Completed
3001971402	79634320	Kenvue	1200	2066.15	2025-11-03	2025-11-04	2025-11-17	16709	Completed
3001971418	79602628	Kenvue	5184	3100.60	2025-11-03	2025-11-04	2025-11-12	16692	Completed
3001971417	43606072	Kenvue	15552	6786.89	2025-11-03	2025-11-04	2025-11-17	16710	Completed
3001971293	43710032	Kenvue	2160	7394.03	2025-11-03	2025-11-04	2025-11-13	16697	Completed
3001971088	43619051	Kenvue	3120	2350.51	2025-11-05	2025-11-06	2025-11-14	16704	Completed
3001971089	79640293	Kenvue	4192	4966.35	2025-11-05	2025-11-06	2025-11-18	16714	Completed
3001971090	43619050	Kenvue	3600	2791.76	2025-11-05	2025-11-06	2025-11-17	16708	Completed
3001971555	43619050	Kenvue	3120	2419.53	2025-11-05	2025-11-06	2025-11-18	16715	Completed
3001972159	43020063	Kenvue	19980	10974.41	2025-11-10	2025-11-11	2025-11-26	16752	Completed
3001972157	79644619	Kenvue	4440	13775.99	2025-11-10	2025-11-11	2025-12-01	16778	Completed
3001972158	79644619	Kenvue	4440	13775.99	2025-11-10	2025-11-11	2025-12-08		Completed
3001972154	79618124	Kenvue	7488	11734.59	2025-11-10	2025-11-11	2025-11-27	16759	Completed
3001972174	43607074	Kenvue	3600	16701.41	2025-11-10	2025-11-11	2025-12-22	16860	Completed
3001972175	79618122	Kenvue	6048	6917.40	2025-11-10	2025-11-11	2025-11-24	16741	Completed
3001972156	79644618	Kenvue	792	8454.53	2025-11-10	2025-11-11	2025-12-02	16786	Completed
3001972162	43710032	Kenvue	3240	11091.04	2025-11-10	2025-11-11	2025-12-10	16812	Completed
3001972171	79642063	Kenvue	4860	6917.72	2025-11-10	2025-11-11	2025-12-11	16813	Completed
3001972172	79643968	Kenvue	2880	8036.73	2025-11-10	2025-11-11	2025-11-24	16738	Completed
3001972164	79601072	Kenvue	5760	4579.03	2025-11-10	2025-11-11	2025-12-12	16824	Completed
3001972167	79646376	Kenvue	1968	2834.18	2025-11-10	2025-11-11	2025-12-10	16809	Completed
3001972176	79643216	Kenvue	576	286.16	2025-11-10	2025-11-11	2026-01-16	16914	Completed
3001972169	43630033	Kenvue	6240	5964.38	2025-11-10	2025-11-11			PO Cancelled
3001972165	79644889	Kenvue	1944	5224.93	2025-11-10	2025-11-11	2025-11-26	16750	Completed
3001972170	79640293	Kenvue	2832	3355.13	2025-11-10	2025-11-11	2025-11-21	16733	Completed
3001972163	43710033	Kenvue	3360	10390.93	2025-11-10	2025-11-11	2025-12-05	16796	Completed
3001972155	43630034	Kenvue	4992	3913.08	2025-11-10	2025-11-11			PO Cancelled
3001972173	79622703	Kenvue	7848	5465.90	2025-11-10	2025-11-11	2025-12-16	16835	Completed
3001972161	79622699	Kenvue	3024	4125.19	2025-11-10	2025-11-11			PO Cancelled
3001972166	79641566	Kenvue	12960	2158.49	2025-11-10	2025-11-11	2025-12-05	16795	Completed
3001972168	43630032	Kenvue	2304	2530.83	2025-11-10	2025-11-11	2025-11-19	16723	Completed
3001972160	79601073	Kenvue	5760	4671.19	2025-11-10	2025-11-11	2025-12-11	16816	Completed
3001972567	79640891	Kenvue	3600	3328.52	2025-11-12	2025-11-12	2025-11-20	16727	Completed
3001972568	79640891	Kenvue	3600	3328.52	2025-11-12	2025-11-12	2025-12-12	16825	Completed
3001972569	79640892	Kenvue	4824	4922.60	2025-11-12	2025-11-12	2025-12-22	16858	Completed
3001972570	79640853	Kenvue	2160	2090.75	2025-11-12	2025-11-12	2025-12-01	16781	Completed
3001972571	79640890	Kenvue	2400	2217.43	2025-11-12	2025-11-12	2025-11-19	16722	Completed
3001972572	79640962	Kenvue	2400	2785.44	2025-11-12	2025-11-12	2025-12-12	16823	Completed
3001972573	79641157	Kenvue	1944	2302.86	2025-11-12	2025-11-12	2025-12-18	16851	Completed
3001972574	79601072	Kenvue	5760	4579.03	2025-11-12	2025-11-12	2025-12-22	16862	Completed
3001972575	79634320	Kenvue	2640	4545.53	2025-11-12	2025-11-12	2025-12-22	16861	Completed
3001972576	79634321	Kenvue	2400	4391.50	2025-11-12	2025-11-12	2025-12-16	16834	Completed
3001972577	79601073	Kenvue	2880	2335.59	2025-11-12	2025-11-12	2025-12-17	16839	Completed
3001972578	79618894	Kenvue	3600	9120.38	2025-11-12	2025-11-12	2025-12-15	16830	Completed
3001972501	79642245	Kenvue	4680	4322.68	2025-11-11	2025-11-12	2025-11-20	16726	Completed
3001972768	79601073	Kenvue	2880	2335.59	2025-11-13	2025-11-14	2025-12-17	16838	Completed
3001972770	4360903803	Kenvue	6336	4363.92	2025-11-13	2025-11-14	2025-12-03	16793	Completed
3001972780	43606072	Kenvue	17424	7603.83	2025-11-13	2025-11-14	2025-12-08	16804	Completed
3001972777	79618895	Kenvue	2400	6679.44	2025-11-13	2025-11-14	2025-12-15	16831	Completed
3001972765	43630034	Kenvue	2472	1937.73	2025-11-13	2025-11-14	2025-11-28	16775	Completed
3001972773	79647567	Kenvue	4656	10183.04	2025-11-13	2025-11-14	2025-12-15	16829	Completed
3001972772	79647568	Kenvue	2208	4925.67	2025-11-13	2025-11-14	2025-12-18	16852	Completed
3001972769	79647569	Kenvue	2064	4073.82	2025-11-13	2025-11-14	2025-12-08	16805	Completed
3001972771	79647590	Kenvue	2544	5244.89	2025-11-13	2025-11-14	2025-12-16	16836	Completed
3001972766	43020063	Kenvue	14940	8206.09	2025-11-13	2025-11-14	2026-01-14	16896	Completed
3001972767	43020063	Kenvue	15552	8542.25	2025-11-13	2025-11-14	2026-01-19	16919	Completed
3001971738	79648643	Kenvue	7200	17712.00	2025-11-06	2025-11-14	2025-12-05	16797	Completed
3001973565	79643216	Kenvue	4320	2146.22	2025-11-18	2025-11-19	2025-12-18	16853	Completed
3001973559	79644619	Kenvue	4128	12807.95	2025-11-18	2025-11-19	2025-12-10	16811	Completed
3001973562	79647568	Kenvue	2208	4925.67	2025-11-18	2025-11-19	2025-12-15	16828	Completed
3001973568	79647590	Kenvue	3912	8065.25	2025-11-18	2025-11-19	2025-12-17	16840	Completed
3001973564	79647569	Kenvue	5136	10137.18	2025-11-18	2025-11-19	2025-12-23	16866	Completed
3001973557	79642253	Kenvue	4608	3114.09	2025-11-18	2025-11-19	2025-12-01	16782	Completed
3001973561	79602665	Kenvue	10368	6512.56	2025-11-18	2025-11-19	2025-12-10	16810	Completed
3001973569	43607073	Kenvue	3600	7861.07	2025-11-18	2025-11-19	2025-12-15	16832	Completed
3001973567	79640293	Kenvue	5664	6710.25	2025-11-18	2025-11-19	2025-12-23	16864	Completed
3001973563	79640898	Kenvue	6000	16907.64	2025-11-18	2025-11-19			PO Cancelled
3001973560	43710032	Kenvue	3240	11091.04	2025-11-18	2025-11-19	2025-12-16	16833	Completed
3001973592	79640890	Kenvue	2400	2217.43	2025-11-18	2025-11-19	2025-12-17	16837	Completed
3001973590	79648643	Kenvue	7200	17712.00	2025-11-18	2025-11-19	2025-12-05	16799	Completed
3001973718	43607074	Kenvue	3600	8350.70	2025-11-18	2025-11-19	2025-12-22	16859	Completed
3001973670	79647567	Kenvue	1248	2729.48	2025-11-19	2025-11-21			PO Cancelled
3001973671	43607073	Kenvue	4800	10481.42	2025-11-19	2025-11-21	2025-12-23	16863	Completed
3001973805	43630033	Kenvue	5016	4794.44	2025-11-18	2025-11-26	2025-12-11	16815	Completed
3001974412	79646378	Kenvue	5184	7154.54	2025-11-25	2025-11-26	2026-01-12	16889	Completed
3001974413	43630034	Kenvue	5280	4138.83	2025-11-25	2025-11-26	2025-12-19	16856	Completed
3001975177	79644618	Kenvue	4632	16317.24	2025-12-02	2025-12-03	2025-12-11	16814	Completed
3001975176	79640293	Kenvue	2832	3355.13	2025-12-02	2025-12-03	2026-01-22	16931	Completed
3001975178	43606072	Kenvue	8712	3801.92	2025-12-02	2025-12-03	2026-01-07	16877	Completed
3001975782	79618122	Kenvue	6048	6917.40	2025-12-08	2025-12-09	2025-12-23	16865	Completed
3001976881 	79635532	Kenvue	1512	1268.83	2025-11-18	2025-11-18	2026-01-07	16878	Completed
3001974414	79635593	Kenvue	3168	3769.92	2025-11-25	2025-11-25	2026-01-05	16875	Completed
3001976882 	79635526	Kenvue	1080	980.10	2025-11-18	2025-11-18	2026-01-05	16876	Completed
3001976700	79618122	Kenvue	6048	6917.40	2025-12-15	2025-12-16	2026-01-14	16894	Completed
 3001976694 	79640293	Kenvue	2832	3355.13	2025-12-15	2025-12-16	2026-01-09	16883	Completed
3001976693	43710033	Kenvue	1680	5195.47	2025-12-15	2025-12-16	2026-01-16	16911	Completed
3001976695	43710032	Kenvue	1620	5545.52	2025-12-15	2025-12-16	2026-01-14	16895	Completed
3001976691	79641157	Kenvue	2160	2558.74	2025-12-15	2025-12-16	2026-01-13	16893	Completed
3001976699	79640891	Kenvue	3600	3328.52	2025-12-15	2025-12-16	2026-01-13	16890	Completed
3001976697	43619051	Kenvue	3120	2350.51	2025-12-15	2025-12-16	2026-01-05	16874	Completed
3001976696	79602665	Kenvue	5184	3256.28	2025-12-15	2025-12-16	2026-01-15	16907	Completed
3001976698	79618124	Kenvue	3744	5867.30	2025-12-15	2025-12-16	2026-01-16	16912	Completed
3001976692	79641566	Kenvue	3240	539.62	2025-12-15	2025-12-16	2026-01-20	16921	Completed
3001977902  	43020063	Kenvue	14940	8206.09	2025-12-22	2025-12-22	2026-01-14	16901	Completed
3001977601  	43020063	Kenvue	12384	6810.95	2025-12-22	2025-12-22	2026-01-19	16917	Completed
3001977767	79646355	Kenvue	3456	5681.21	2025-12-22	2025-12-23	2026-01-28	16942	Completed
